3 #SUP: 12790
4 #SUP: 6851
5 #SUP: 44396
7 #SUP: 20081
8 #SUP: 37967
9 #SUP: 28934
10 #SUP: 4901
11 #SUP: 39922
12 #SUP: 10883
13 #SUP: 36959
15 #SUP: 23265
16 #SUP: 9458
17 #SUP: 27214
18 #SUP: 13301
19 #SUP: 25130
22 #SUP: 23202
23 #SUP: 7244
24 #SUP: 9732
26 #SUP: 5207
27 #SUP: 7597
28 #SUP: 5171
37 #SUP: 11655
39 #SUP: 8410
42 #SUP: 5289
44 #SUP: 9027
48 #SUP: 23289
3 5  #SUP: 12551
7 13 48  #SUP: 8538
7 15 48  #SUP: 4890
7 17 22  #SUP: 5339
7 17 48  #SUP: 5611
7 22 48  #SUP: 4784
8 9 11  #SUP: 21540
8 9 13  #SUP: 19432
8 9 15  #SUP: 12681
8 9 16  #SUP: 5125
8 9 17  #SUP: 14404
8 9 18  #SUP: 7263
8 9 19  #SUP: 13240
8 9 22  #SUP: 12214
8 9 24  #SUP: 5127
8 9 37  #SUP: 6026
8 9 44  #SUP: 5036
8 9 48  #SUP: 12483
8 11 12  #SUP: 9021
8 11 13  #SUP: 27814
8 11 15  #SUP: 17053
8 11 16  #SUP: 6996
8 11 17  #SUP: 20069
8 11 18  #SUP: 9652
8 11 19  #SUP: 19093
8 11 22  #SUP: 16743
8 11 24  #SUP: 7447
8 11 27  #SUP: 5530
8 11 37  #SUP: 8738
8 11 39  #SUP: 6217
8 11 44  #SUP: 6634
8 11 48  #SUP: 17159
8 12 13  #SUP: 7654
8 12 17  #SUP: 5508
8 12 19  #SUP: 4955
8 12 48  #SUP: 4743
8 13 15  #SUP: 15694
8 13 16  #SUP: 6580
8 13 17  #SUP: 18555
8 13 18  #SUP: 9165
8 13 19  #SUP: 16471
8 13 22  #SUP: 15312
8 13 24  #SUP: 6685
8 13 27  #SUP: 5165
8 13 37  #SUP: 8053
8 13 39  #SUP: 5864
8 13 44  #SUP: 6181
8 13 48  #SUP: 15820
8 15 17  #SUP: 9210
8 15 18  #SUP: 6899
8 15 19  #SUP: 11930
8 15 22  #SUP: 10312
8 15 48  #SUP: 10763
8 16 17  #SUP: 4645
8 16 18  #SUP: 6787
8 17 18  #SUP: 6000
8 17 19  #SUP: 12350
8 17 22  #SUP: 11054
8 17 24  #SUP: 5724
8 17 37  #SUP: 6823
8 17 39  #SUP: 5178
8 17 44  #SUP: 4856
8 17 48  #SUP: 11102
8 18 19  #SUP: 5320
8 18 48  #SUP: 5470
8 19 22  #SUP: 11383
8 19 24  #SUP: 5915
8 19 37  #SUP: 5587
8 19 48  #SUP: 11022
8 22 37  #SUP: 4858
8 22 48  #SUP: 10063
8 37 48  #SUP: 4822
9 11 13  #SUP: 21830
9 11 15  #SUP: 13547
9 11 16  #SUP: 5148
9 11 17  #SUP: 15917
9 11 18  #SUP: 7189
9 11 19  #SUP: 15346
9 11 22  #SUP: 13745
9 11 24  #SUP: 5996
9 11 37  #SUP: 6795
9 11 39  #SUP: 4846
9 11 44  #SUP: 4974
9 11 48  #SUP: 13584
9 13 15  #SUP: 12060
9 13 16  #SUP: 4657
9 13 17  #SUP: 14227
9 13 18  #SUP: 6555
9 13 19  #SUP: 12778
9 13 22  #SUP: 12163
9 13 24  #SUP: 5198
9 13 37  #SUP: 6010
9 13 48  #SUP: 12148
9 15 17  #SUP: 7288
9 15 18  #SUP: 5033
9 15 19  #SUP: 9263
9 15 22  #SUP: 8285
9 15 48  #SUP: 8304
9 16 18  #SUP: 4871
9 17 19  #SUP: 9829
9 17 22  #SUP: 8942
9 17 37  #SUP: 5180
9 17 48  #SUP: 8664
9 19 22  #SUP: 9109
9 19 24  #SUP: 4553
9 19 48  #SUP: 8525
9 22 48  #SUP: 8021
11 12 13  #SUP: 9083
11 12 15  #SUP: 5285
11 12 17  #SUP: 6616
11 12 19  #SUP: 5962
11 12 22  #SUP: 5381
11 12 48  #SUP: 5625
11 13 15  #SUP: 16980
11 13 16  #SUP: 6855
11 13 17  #SUP: 20766
11 13 18  #SUP: 9427
11 13 19  #SUP: 18705
11 13 22  #SUP: 17355
11 13 23  #SUP: 5759
11 13 24  #SUP: 7591
11 13 27  #SUP: 5698
11 13 37  #SUP: 9023
11 13 39  #SUP: 6621
11 13 44  #SUP: 6293
11 13 48  #SUP: 17441
11 15 17  #SUP: 10208
11 15 18  #SUP: 6645
11 15 19  #SUP: 13192
11 15 22  #SUP: 11282
11 15 24  #SUP: 4665
11 15 48  #SUP: 11333
11 16 17  #SUP: 4719
11 16 18  #SUP: 6667
11 17 18  #SUP: 6125
11 17 19  #SUP: 14312
11 17 22  #SUP: 12466
11 17 24  #SUP: 6531
11 17 37  #SUP: 7564
11 17 39  #SUP: 5734
11 17 44  #SUP: 4872
11 17 48  #SUP: 12312
11 18 19  #SUP: 5764
11 18 48  #SUP: 5514
11 19 22  #SUP: 13001
11 19 24  #SUP: 6613
11 19 37  #SUP: 6326
11 19 48  #SUP: 12324
11 22 24  #SUP: 4938
11 22 27  #SUP: 4711
11 22 37  #SUP: 5511
11 22 48  #SUP: 11108
11 24 48  #SUP: 4849
11 37 48  #SUP: 5331
12 13 17  #SUP: 5686
12 13 19  #SUP: 4730
12 13 48  #SUP: 4736
13 15 17  #SUP: 9210
13 15 18  #SUP: 6217
13 15 19  #SUP: 11412
13 15 22  #SUP: 10255
13 15 48  #SUP: 10373
13 16 18  #SUP: 6260
13 17 18  #SUP: 5701
13 17 19  #SUP: 12314
13 17 22  #SUP: 11314
13 17 24  #SUP: 5842
13 17 37  #SUP: 6924
13 17 39  #SUP: 5363
13 17 48  #SUP: 11231
13 18 19  #SUP: 4944
13 18 48  #SUP: 5156
13 19 22  #SUP: 11179
13 19 24  #SUP: 5695
13 19 37  #SUP: 5401
13 19 48  #SUP: 10544
13 22 37  #SUP: 4970
13 22 48  #SUP: 10095
13 37 48  #SUP: 4843
15 17 19  #SUP: 7613
15 17 22  #SUP: 6165
15 17 48  #SUP: 6072
15 19 22  #SUP: 8435
15 19 48  #SUP: 7954
15 22 48  #SUP: 7173
17 19 22  #SUP: 8431
17 19 24  #SUP: 5100
17 19 37  #SUP: 4841
17 19 48  #SUP: 7915
17 22 48  #SUP: 7033
19 22 48  #SUP: 7579
3 5 7 8  #SUP: 5059
3 5 7 11  #SUP: 4547
3 5 7 13  #SUP: 4711
3 5 7 15  #SUP: 4659
3 5 8 9  #SUP: 7021
3 5 8 11  #SUP: 9223
3 5 8 13  #SUP: 8662
3 5 8 15  #SUP: 8949
3 5 8 19  #SUP: 5914
3 5 8 22  #SUP: 5498
3 5 8 48  #SUP: 6065
3 5 9 11  #SUP: 6962
3 5 9 13  #SUP: 6295
3 5 9 15  #SUP: 6661
3 5 11 13  #SUP: 8772
3 5 11 15  #SUP: 8643
3 5 11 19  #SUP: 6113
3 5 11 22  #SUP: 5626
3 5 11 48  #SUP: 5976
3 5 13 15  #SUP: 8114
3 5 13 19  #SUP: 5283
3 5 13 22  #SUP: 5196
3 5 13 48  #SUP: 5564
3 5 15 19  #SUP: 5572
3 5 15 22  #SUP: 5337
3 5 15 48  #SUP: 5809
3 8 9 11  #SUP: 6089
3 8 9 13  #SUP: 5540
3 8 9 15  #SUP: 5901
3 8 11 13  #SUP: 7677
3 8 11 15  #SUP: 7595
3 8 11 19  #SUP: 5397
3 8 11 22  #SUP: 4836
3 8 11 48  #SUP: 5171
3 8 13 15  #SUP: 7141
3 8 13 19  #SUP: 4665
3 8 13 48  #SUP: 4830
3 8 15 19  #SUP: 4937
3 8 15 22  #SUP: 4634
3 8 15 48  #SUP: 5073
3 9 11 13  #SUP: 5847
3 9 11 15  #SUP: 5858
3 9 13 15  #SUP: 5320
3 11 13 15  #SUP: 7246
3 11 13 19  #SUP: 4937
3 11 13 22  #SUP: 4744
3 11 13 48  #SUP: 4960
3 11 15 19  #SUP: 5113
3 11 15 22  #SUP: 4733
3 11 15 48  #SUP: 4975
3 13 15 48  #SUP: 4646
4 5 8 11  #SUP: 5214
4 5 8 13  #SUP: 4866
4 5 11 13  #SUP: 5297
4 5 11 17  #SUP: 4768
4 8 11 13  #SUP: 4564
5 7 8 9  #SUP: 10892
5 7 8 11  #SUP: 13872
5 7 8 13  #SUP: 14161
5 7 8 15  #SUP: 7563
5 7 8 17  #SUP: 10086
5 7 8 18  #SUP: 6141
5 7 8 22  #SUP: 7400
5 7 8 48  #SUP: 8331
5 7 9 11  #SUP: 10464
5 7 9 13  #SUP: 10345
5 7 9 15  #SUP: 5693
5 7 9 17  #SUP: 7475
5 7 9 22  #SUP: 5778
5 7 9 48  #SUP: 6353
5 7 11 12  #SUP: 4706
5 7 11 13  #SUP: 14525
5 7 11 15  #SUP: 7099
5 7 11 17  #SUP: 9951
5 7 11 18  #SUP: 5451
5 7 11 22  #SUP: 7547
5 7 11 48  #SUP: 8310
5 7 13 15  #SUP: 7219
5 7 13 17  #SUP: 9957
5 7 13 18  #SUP: 5607
5 7 13 22  #SUP: 7568
5 7 13 48  #SUP: 8415
5 7 15 48  #SUP: 4824
5 7 17 22  #SUP: 5229
5 7 17 48  #SUP: 5543
5 7 22 48  #SUP: 4711
5 8 9 11  #SUP: 21217
5 8 9 13  #SUP: 19115
5 8 9 15  #SUP: 12491
5 8 9 16  #SUP: 5058
5 8 9 17  #SUP: 14219
5 8 9 18  #SUP: 7189
5 8 9 19  #SUP: 13037
5 8 9 22  #SUP: 12020
5 8 9 24  #SUP: 5039
5 8 9 37  #SUP: 5930
5 8 9 44  #SUP: 5029
5 8 9 48  #SUP: 12385
5 8 11 12  #SUP: 8894
5 8 11 13  #SUP: 27371
5 8 11 15  #SUP: 16788
5 8 11 16  #SUP: 6895
5 8 11 17  #SUP: 19799
5 8 11 18  #SUP: 9538
5 8 11 19  #SUP: 18813
5 8 11 22  #SUP: 16472
5 8 11 24  #SUP: 7329
5 8 11 27  #SUP: 5457
5 8 11 37  #SUP: 8601
5 8 11 39  #SUP: 6145
5 8 11 44  #SUP: 6627
5 8 11 48  #SUP: 17007
5 8 12 13  #SUP: 7539
5 8 12 17  #SUP: 5432
5 8 12 19  #SUP: 4890
5 8 12 48  #SUP: 4692
5 8 13 15  #SUP: 15433
5 8 13 16  #SUP: 6480
5 8 13 17  #SUP: 18285
5 8 13 18  #SUP: 9047
5 8 13 19  #SUP: 16198
5 8 13 22  #SUP: 15048
5 8 13 24  #SUP: 6569
5 8 13 27  #SUP: 5088
5 8 13 37  #SUP: 7915
5 8 13 39  #SUP: 5790
5 8 13 44  #SUP: 6173
5 8 13 48  #SUP: 15668
5 8 15 17  #SUP: 9079
5 8 15 18  #SUP: 6832
5 8 15 19  #SUP: 11744
5 8 15 22  #SUP: 10134
5 8 15 48  #SUP: 10677
5 8 16 17  #SUP: 4588
5 8 16 18  #SUP: 6708
5 8 17 18  #SUP: 5935
5 8 17 19  #SUP: 12184
5 8 17 22  #SUP: 10897
5 8 17 24  #SUP: 5655
5 8 17 37  #SUP: 6727
5 8 17 39  #SUP: 5124
5 8 17 44  #SUP: 4853
5 8 17 48  #SUP: 11017
5 8 18 19  #SUP: 5251
5 8 18 48  #SUP: 5432
5 8 19 22  #SUP: 11208
5 8 19 24  #SUP: 5824
5 8 19 37  #SUP: 5507
5 8 19 48  #SUP: 10946
5 8 22 37  #SUP: 4779
5 8 22 48  #SUP: 9964
5 8 37 48  #SUP: 4770
5 9 11 13  #SUP: 21352
5 9 11 15  #SUP: 13264
5 9 11 16  #SUP: 5054
5 9 11 17  #SUP: 15637
5 9 11 18  #SUP: 7074
5 9 11 19  #SUP: 15074
5 9 11 22  #SUP: 13455
5 9 11 24  #SUP: 5866
5 9 11 37  #SUP: 6657
5 9 11 39  #SUP: 4764
5 9 11 44  #SUP: 4966
5 9 11 48  #SUP: 13443
5 9 13 15  #SUP: 11788
5 9 13 16  #SUP: 4566
5 9 13 17  #SUP: 13955
5 9 13 18  #SUP: 6441
5 9 13 19  #SUP: 12521
5 9 13 22  #SUP: 11887
5 9 13 24  #SUP: 5069
5 9 13 37  #SUP: 5875
5 9 13 48  #SUP: 12009
5 9 15 17  #SUP: 7153
5 9 15 18  #SUP: 4974
5 9 15 19  #SUP: 9085
5 9 15 22  #SUP: 8097
5 9 15 48  #SUP: 8222
5 9 16 18  #SUP: 4798
5 9 17 19  #SUP: 9671
5 9 17 22  #SUP: 8784
5 9 17 37  #SUP: 5090
5 9 17 48  #SUP: 8592
5 9 19 22  #SUP: 8952
5 9 19 48  #SUP: 8461
5 9 22 48  #SUP: 7933
5 11 12 13  #SUP: 8894
5 11 12 15  #SUP: 5180
5 11 12 17  #SUP: 6493
5 11 12 19  #SUP: 5852
5 11 12 22  #SUP: 5271
5 11 12 48  #SUP: 5553
5 11 13 15  #SUP: 16599
5 11 13 16  #SUP: 6709
5 11 13 17  #SUP: 20357
5 11 13 18  #SUP: 9254
5 11 13 19  #SUP: 18337
5 11 13 22  #SUP: 16961
5 11 13 23  #SUP: 5491
5 11 13 24  #SUP: 7419
5 11 13 27  #SUP: 5586
5 11 13 37  #SUP: 8823
5 11 13 39  #SUP: 6498
5 11 13 44  #SUP: 6282
5 11 13 48  #SUP: 17229
5 11 15 17  #SUP: 10016
5 11 15 18  #SUP: 6546
5 11 15 19  #SUP: 12944
5 11 15 22  #SUP: 11029
5 11 15 24  #SUP: 4558
5 11 15 48  #SUP: 11209
5 11 16 17  #SUP: 4626
5 11 16 18  #SUP: 6551
5 11 17 18  #SUP: 6026
5 11 17 19  #SUP: 14080
5 11 17 22  #SUP: 12234
5 11 17 24  #SUP: 6428
5 11 17 37  #SUP: 7420
5 11 17 39  #SUP: 5648
5 11 17 44  #SUP: 4866
5 11 17 48  #SUP: 12187
5 11 18 19  #SUP: 5670
5 11 18 48  #SUP: 5455
5 11 19 22  #SUP: 12775
5 11 19 24  #SUP: 6489
5 11 19 37  #SUP: 6220
5 11 19 48  #SUP: 12218
5 11 22 24  #SUP: 4832
5 11 22 27  #SUP: 4617
5 11 22 37  #SUP: 5400
5 11 22 48  #SUP: 10978
5 11 24 48  #SUP: 4807
5 11 37 48  #SUP: 5265
5 12 13 17  #SUP: 5570
5 12 13 19  #SUP: 4633
5 12 13 48  #SUP: 4669
5 13 15 17  #SUP: 9025
5 13 15 18  #SUP: 6118
5 13 15 19  #SUP: 11174
5 13 15 22  #SUP: 10010
5 13 15 48  #SUP: 10251
5 13 16 18  #SUP: 6147
5 13 17 18  #SUP: 5604
5 13 17 19  #SUP: 12089
5 13 17 22  #SUP: 11082
5 13 17 24  #SUP: 5736
5 13 17 37  #SUP: 6777
5 13 17 39  #SUP: 5275
5 13 17 48  #SUP: 11107
5 13 18 19  #SUP: 4850
5 13 18 48  #SUP: 5095
5 13 19 22  #SUP: 10964
5 13 19 24  #SUP: 5575
5 13 19 37  #SUP: 5295
5 13 19 48  #SUP: 10443
5 13 22 37  #SUP: 4860
5 13 22 48  #SUP: 9972
5 13 37 48  #SUP: 4777
5 15 17 19  #SUP: 7482
5 15 17 22  #SUP: 6045
5 15 17 48  #SUP: 6011
5 15 19 22  #SUP: 8275
5 15 19 48  #SUP: 7888
5 15 22 48  #SUP: 7099
5 17 19 22  #SUP: 8298
5 17 19 24  #SUP: 5025
5 17 19 37  #SUP: 4765
5 17 19 48  #SUP: 7853
5 17 22 48  #SUP: 6959
5 19 22 48  #SUP: 7515
7 8 9 11  #SUP: 8951
7 8 9 13  #SUP: 8928
7 8 9 15  #SUP: 5013
7 8 9 17  #SUP: 6522
7 8 9 22  #SUP: 4858
7 8 9 48  #SUP: 5408
7 8 11 13  #SUP: 12439
7 8 11 15  #SUP: 6151
7 8 11 17  #SUP: 8563
7 8 11 18  #SUP: 4872
7 8 11 22  #SUP: 6243
7 8 11 48  #SUP: 6954
7 8 13 15  #SUP: 6274
7 8 13 17  #SUP: 8631
7 8 13 18  #SUP: 5053
7 8 13 22  #SUP: 6295
7 8 13 48  #SUP: 7102
7 8 17 48  #SUP: 4684
7 9 11 13  #SUP: 9398
7 9 11 15  #SUP: 4718
7 9 11 17  #SUP: 6475
7 9 11 22  #SUP: 5008
7 9 11 48  #SUP: 5394
7 9 13 15  #SUP: 4677
7 9 13 17  #SUP: 6353
7 9 13 22  #SUP: 4897
7 9 13 48  #SUP: 5374
7 11 13 15  #SUP: 6369
7 11 13 17  #SUP: 9109
7 11 13 18  #SUP: 4852
7 11 13 22  #SUP: 6880
7 11 13 48  #SUP: 7536
7 11 17 22  #SUP: 4594
7 11 17 48  #SUP: 4857
7 13 17 22  #SUP: 4557
7 13 17 48  #SUP: 4855
8 9 11 13  #SUP: 18000
8 9 11 15  #SUP: 11246
8 9 11 17  #SUP: 12992
8 9 11 18  #SUP: 6133
8 9 11 19  #SUP: 12589
8 9 11 22  #SUP: 11038
8 9 11 24  #SUP: 4899
8 9 11 37  #SUP: 5572
8 9 11 48  #SUP: 11192
8 9 13 15  #SUP: 10059
8 9 13 17  #SUP: 11696
8 9 13 18  #SUP: 5658
8 9 13 19  #SUP: 10504
8 9 13 22  #SUP: 9789
8 9 13 37  #SUP: 4940
8 9 13 48  #SUP: 10063
8 9 15 17  #SUP: 5967
8 9 15 19  #SUP: 7668
8 9 15 22  #SUP: 6758
8 9 15 48  #SUP: 6962
8 9 17 19  #SUP: 7882
8 9 17 22  #SUP: 7161
8 9 17 48  #SUP: 7102
8 9 19 22  #SUP: 7356
8 9 19 48  #SUP: 7075
8 9 22 48  #SUP: 6512
8 11 12 13  #SUP: 7590
8 11 12 17  #SUP: 5461
8 11 12 19  #SUP: 4920
8 11 12 48  #SUP: 4685
8 11 13 15  #SUP: 14091
8 11 13 16  #SUP: 5865
8 11 13 17  #SUP: 17041
8 11 13 18  #SUP: 8041
8 11 13 19  #SUP: 15375
8 11 13 22  #SUP: 13939
8 11 13 24  #SUP: 6250
8 11 13 27  #SUP: 4667
8 11 13 37  #SUP: 7444
8 11 13 39  #SUP: 5411
8 11 13 44  #SUP: 5427
